quartet_key,metric_version,source_version,source_hash,observed_nodes,observed_pairs,positive_pairs,strongest_edge,median_edge,disconnected
alphabet_code__1,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__10,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,5,0,0.0,0.0,1
alphabet_code__11,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,5,0,0.0,0.0,1
alphabet_code__12,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,5,0,0.0,0.0,1
alphabet_code__13,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__14,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__15,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__16,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__17,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__18,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__19,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__2,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,5,0,0.0,0.0,1
alphabet_code__20,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.0101,0.0,0
alphabet_code__3,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,0,0.0,0.0,1
alphabet_code__4,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,6,1,0.06791,0.0,0
alphabet_code__5,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,6,0,0.0,0.0,1
alphabet_code__6,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,5,0,0.0,0.0,1
alphabet_code__7,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,5,0,0.0,0.0,1
alphabet_code__8,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,3,0,0.0,0.0,1
alphabet_code__9,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,4,5,0,0.0,0.0,1
american_east_cities__1,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,5,0,0.0,0.0,1
american_east_cities__10,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,3,0,0.0,0.0,1
american_east_cities__11,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,3,0,0.0,0.0,1
american_east_cities__12,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,5,0,0.0,0.0,1
american_east_cities__13,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,5,0,0.0,0.0,1
american_east_cities__14,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,1,3,0,0.0,0.0,1
american_east_cities__2,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,5,0,0.0,0.0,1
american_east_cities__3,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,5,0,0.0,0.0,1
american_east_cities__4,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,0,0,0.0,0.0,0
american_east_cities__5,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,2,3,0,0.0,0.0,1
american_east_cities__6,swow-quartet/1.0,SWOW-EN.R100.20180827,40e75e55672898ac,3,6,0,0.0,0.0,1
